1;Facultad de Ingeniería;Av. Libertador General San Martín 1109 (O);Capital, San Juan;0264-4222074 - 4222643
1;1;BioIngeniería;Bioingeniero;Once Semestres;Grado
1;2;Ingeniería Electrónica;Ingeniero en Electrónica;Once Semestres;Grado
1;3;Ingeniería Electrica;Ingeniero en Electrico;Diez Semestres;Grado
1;4;Ingeniería en Agrimensura;Ingeniero Agrimensor;Diez Semestres;Grado
1;5;Ingeniería Electromecanica;Ingeniero Electromecanico;Once Semestres;Grado
1;6;Ingeniería Industrial;Ingeniero Industrial;Diez Semestres;Grado
1;7;Ingeniería Mecanica;Ingeniero Mecanico;Once Semestres;Grado
1;8;Ingeniería Civil;Ingeniero Civil;Diez Semestres;Grado
1;9;Ingeniería en Minas;Ingeniero en Minas;Diez Semestres;Grado
1;10;Ingeniería en Metalurgia Extractiva;Ingeniero Metalurgista;Diez Semestres;Grado
1;11;Ingeniería en Alimentos;Ingeniero en Alimentos;Diez Semestres;Grado
1;12;Ingeniería en Agronómica;Ingeniero Agrónomo;Diez Semestres;Grado
2;Facultad de Ciencias Exactas, Físicas y Naturales;"Av. Ignacio de la Roza 590 (O), Complejo Universitario ""Islas Malvinas""";Rivadavia, San Juan;0264-4260353 4260355 - 4260394 - 4264721
2;1;Licenciatura en Biologia Orientación Ecologia;Licenciado en Biologia Or. Ecologia;5 años + Trabajo final;Grado
2;2;Licenciatura en Astronomia;Licenciado En astronomia;5 años + Trabajo final;Grado
2;3;Licenciatura en Geofísica;Licenciado en Geofisica;5 años + Trabajo final;Grado
2;4;Licenciatura en Ciencias Geologicas;Licenciado en Ciencias Gelogicas;5 años + Trabajo final;Grado
2;5;Licenciatura en Ciencias de la Computación;Licenciado en Ciencias de la Computacion;5 años + Trabajo final;Grado
2;6;Licenciatura en Sistemas de Información;Licenciado en Sistemas de Información;5 años + Trabajo final;Grado
3;Facultad de Filosofia, Humanidades y Artes;Av. Ignacio de la Roza 230 (O);Capital, San Juan;0264-24231949 - 4230314 - 4232516
3;1;Profesorado de Física;Profesor de fisica;4 años;Grado
3;2;Profesorado de Química;Profesor de Quimica;4 años;Grado
3;3;Profesorado de Tecnologia;Profesor de Tecnologia;4 años;Grado
3;4;Licenciatura en Matemática;Licenciado en Matematica;5 años ;Grado
3;5;Profesorado en Matemática;Profesor de Matematica;4 años;Grado
3;6;Licenciatura en Letras;Licenciado en letras;5 años;Grado
3;7;Profesorado de Teatro;Profesor de Teatro;4 años;Grado
3;8;Profesorado de Letras;Profesor de Letras;5 años;Grado
3;9;Licenciatura en Inglés;Licenciado en Ingles;5 años;Grado
3;10;Profesorado de Inglés;Profesor de Ingles ;5 años;Grado
3;11;Licenciatura en Historia;Licenciado en Historia;5 años;Grado
3;12;Profesorado de Historia;Profesor de Historia;5 años;Grado
3;13;Licenciatura en Ciencias de la Educación;Licenciado en Ciencias de la Educacion;5 años;Grado
3;14;Licenciatura en Filosofia;Licenciado en Filosofia;5 años;Grado
3;15;Profesorado en Ciencias de la Educación;Profesor en Ciencias de la Educacion;5 años;Grado
3;16;Profesorado en Filosofia;Profesor en Filosofia;5 años;Grado
3;17;Licenciatura en Geografia;Licenciado en Geografia;5 años;Grado
3;18;Profesorado de Geografia;Profesor de Geografia;5 años;Grado
3;19;Licenciatura en Educación Musical;Licenciado en Educacion Musical;5 años;Grado
3;20;Profesorado Universitario de Música;Profesor Universitario de Musica;5 años;Grado
3;21;Profesorado Universitario en Educación Musical;Profesor Universitario en Educación Musical;4 años;Grado
3;22;Licenciatura en Artes Visuales;Licenciado en Artes Visuales;5 años;Grado
